Task,Method,Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,R2_mean,R2_std,Pearson_mean,Pearson_std,MaxAE_mean,MaxAE_std,MedAE_mean,MedAE_std
SOH_50to50,Baseline,CNN,0.014585204539789839,0.0013459129600048576,0.01819897555714937,0.0018387539861557912,1.6782294300893477,0.15357728371457452,0.8610064195465592,0.028484980214212287,0.929122215762686,0.01459302762153622,0.07822869141565295,0.003954146567750913,0.01243203496226325,0.0013301875293341501
SOH_50to50,Baseline,RNN,0.015291029184950289,0.0003899819684509706,0.019704306840518573,0.00018904502149584624,1.760356523848793,0.04212120383193615,0.8386933676656312,0.0030750622692721436,0.9165803277176565,0.0019473802574618085,0.08643490225135071,0.001297481495341518,0.013182377984257388,0.0011014558327299933
SOH_50to50,Baseline,LSTM,0.01639781798552433,0.0001329032691615465,0.021490235149946375,0.00011059851292144093,1.8886670751245713,0.013868506212866503,0.8081402982497705,0.0019779854398057715,0.8994644769085864,0.0009995621110357703,0.09037154883626355,0.0013185969076737116,0.013868366227872108,0.00038259029090780634
SOH_50to50,Baseline,Transformer,0.019290299605164825,0.0005550979837243712,0.024877751707867057,0.0007476467457141715,2.2128478793505963,0.0636793162449974,0.7426618046857266,0.015404248126893137,0.8662248665848242,0.006427350484229109,0.10789657174630449,0.008908456029438835,0.01567663607084485,0.0005424697561772024
SOH_50to50,Baseline,PatchTST,0.030610696820348816,0.0010352642811679333,0.03839258932376131,0.0013015394050915215,3.484469814722406,0.1142604441139331,0.3869674053603789,0.04103752189353144,0.7367454361245374,0.016695613637529368,0.1414108774639932,0.007900923825228326,0.02571193498334281,0.0009754927073401848
SOH_50to50,Baseline,Informer,0.017043035073699732,0.0006620189177633533,0.021620357524962015,0.0008425976566347703,1.9505232990404378,0.07389588498401692,0.805520066439547,0.015369306621922783,0.9016015740555551,0.007984034245225952,0.09710601734592192,0.007032298116368847,0.014389603937500106,0.0008038750724356664
SOH_50to50,Baseline,iTransformer,0.023021284662073,0.0024316341185626274,0.02948863795180647,0.0026603041120153797,2.6332787703120113,0.2717020245693013,0.6358170367813065,0.06474161972440956,0.8219398684072592,0.027803137660530938,0.11892646502538415,0.011270737759299135,0.01881318653327694,0.0024921873536392198
SOH_50to50,Proposed,MLP,0.011951506595723868,0.00038289462056010514,0.015261950340418513,0.0003206371791628121,1.3745261431849756,0.04373218220349009,0.9031941408230028,0.004125925630369567,0.9508171381905193,0.002181478719264219,0.07382467607139871,0.0009693319225922315,0.010299629408206923,0.00029848347289507547
SOH_50to50,Proposed,CNN,0.01125658944061904,0.00031169255493536206,0.014656949797430905,0.00033052775645575253,1.2907577539506931,0.035699808144942884,0.9107110060629335,0.004054711680332761,0.9547686713084763,0.0017703735332109374,0.07135885127837642,0.001959695580496277,0.009534097572756995,0.0005086632678584536
SOH_50to50,Proposed,RNN,0.011433023163046296,0.00014592512154471083,0.014938672292393535,0.00011069834653770332,1.315180780555,0.016231327902584705,0.9072876104560776,0.0013797958219466894,0.9532730229520807,0.0006450496355306177,0.0727559329741714,0.0013814941680541449,0.00964470181604049,0.00031118142555260986
SOH_50to50,Proposed,LSTM,0.01266575159097639,0.00284175193849019,0.01614975317525478,0.002935174035660517,1.4540334764157374,0.3218766007086174,0.888072832242532,0.044680824702590265,0.9437303368287118,0.02214128003464185,0.07459246941141626,0.004701008651956902,0.011154066549768582,0.003293071806395674
SOH_50to50,Proposed,Transformer,0.010257458968365104,0.0005331792705322714,0.013709621350633036,0.0005127136232922678,1.1766341525493216,0.06127501283719024,0.9218106082723858,0.005889857517899333,0.961725722542681,0.0023486919884362226,0.06969437801578464,0.004114602668454723,0.008145375920265685,0.0005489140657296607
SOH_50to50,Proposed,PatchTST,0.014653449583152182,0.001536723392928757,0.018915305454170275,0.0018332743264701003,1.6750317390445857,0.17670536130237266,0.8499703293990688,0.03029484749514495,0.9234638971117806,0.01638993453552711,0.08360631914379828,0.00890093964867153,0.012089634614486155,0.0012608557075818143
SOH_50to50,Proposed,Informer,0.013798662100792766,0.0003853725209615661,0.017150997581672094,0.0004768645929568152,1.5840593849549864,0.04311708910034619,0.8777062385157356,0.006877251967041962,0.937257706583304,0.0037949101601426147,0.0726922744972635,0.0034541389847466473,0.012046961070698792,0.0003346718955812003
SOH_50to50,Proposed,iTransformer,0.012372352415650757,0.0005161586679499258,0.016141828067525343,0.0007014577205158431,1.4150227668839022,0.05985543006093986,0.8915537056636225,0.00957431849795412,0.9459823168649825,0.004141964708107118,0.08587073283531346,0.011868455076737701,0.01036944838288012,0.0005076548476947
SOH_50to50,DE-DDPM,MLP,0.01280130570353075,0.00018249783449168671,0.01656884827082743,0.00018805347804662796,1.473361663479445,0.02211811626806998,0.8859407502674477,0.002596634599338002,0.942791649038538,0.0014533022694991373,0.08690774700870563,0.0013248248334169178,0.010626020722998175,0.0001747164446827673
SOH_50to50,DE-DDPM,CNN,0.012817631562115933,0.00019362114003252471,0.016693111251625342,0.00020827790853771624,1.472758732190915,0.02306375742270746,0.8842203839261409,0.0028724487305820993,0.9411595919314999,0.0012534301636743625,0.08761066924509994,0.0010490544410379924,0.010722077871343105,0.00017181574765603771
SOH_50to50,DE-DDPM,RNN,0.012503626304050868,7.911023721144e-05,0.01629435238319418,6.155430325036459e-05,1.4392331865462586,0.008105204101514813,0.889701315415356,0.0008330234633320521,0.9446448802091918,0.0005198640277227637,0.08676238522522868,0.0016077143635934562,0.010312466728981229,0.0001124061422168374
